                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.97395,                 3.4153,                 1.4735,                0.40773,                0.50997,                0.42494,                0.27941,                 1.0627,                 2.4942,                 1.7444,             0.00023687,             0.00023687,             0.00023687
                      2,                 1.0155,                 2.4549,                 1.4876,                 0.6326,                0.56823,                0.63556,                0.43848,                0.96406,                 2.0469,                 1.5782,             0.00046312,             0.00046312,             0.00046312
                      3,                 1.0703,                 2.1527,                 1.4843,                 0.6786,                0.65747,                0.72611,                0.51501,                0.92889,                 2.2435,                 1.5347,             0.00067758,             0.00067758,             0.00067758
                      4,                 1.0231,                 1.9312,                 1.4671,                0.71584,                0.78556,                0.84953,                0.60159,                0.93724,                 1.9911,                 1.5266,             0.00066099,             0.00066099,             0.00066099
                      5,                 1.0215,                 1.7582,                 1.4506,                0.80038,                0.73615,                0.84224,                 0.5944,                0.99377,                 1.4852,                 1.5706,             0.00064331,             0.00064331,             0.00064331
                      6,                 1.0287,                 1.6993,                 1.4516,                0.80994,                0.76691,                0.86137,                0.62405,                0.93004,                 1.4592,                  1.537,             0.00062564,             0.00062564,             0.00062564
                      7,                 1.0009,                 1.5686,                 1.4258,                0.82582,                0.80824,                0.87573,                0.62836,                0.90906,                 1.3232,                 1.5088,             0.00060797,             0.00060797,             0.00060797
                      8,                0.95782,                 1.4522,                 1.3751,                0.83985,                0.83503,                0.89898,                0.66196,                0.90001,                  1.192,                 1.4747,              0.0005903,              0.0005903,              0.0005903
                      9,                0.93896,                 1.4422,                 1.3825,                0.89843,                0.88849,                0.93894,                0.70165,                0.86552,                 1.0833,                 1.4307,             0.00057263,             0.00057263,             0.00057263
                     10,                0.94578,                  1.375,                 1.3711,                0.89158,                 0.8499,                0.94088,                0.71327,                0.84318,                 1.0559,                 1.4088,             0.00055496,             0.00055496,             0.00055496
                     11,                0.91426,                 1.3023,                 1.3542,                0.88091,                0.89367,                0.93117,                0.70534,                0.84933,                 1.0171,                 1.4038,             0.00053728,             0.00053728,             0.00053728
                     12,                0.92455,                 1.2364,                 1.3475,                0.90033,                0.90421,                0.94835,                0.72033,                0.84835,                0.94688,                 1.3966,             0.00051961,             0.00051961,             0.00051961
                     13,                0.92239,                 1.1952,                  1.352,                0.92594,                0.90334,                0.95309,                0.73795,                0.82466,                0.86643,                 1.3773,             0.00050194,             0.00050194,             0.00050194
                     14,                0.89171,                 1.1365,                 1.3182,                0.88153,                0.93487,                 0.9533,                0.75131,                0.78147,                0.87055,                 1.3351,             0.00048427,             0.00048427,             0.00048427
                     15,                0.89093,                 1.1071,                 1.3179,                0.89929,                0.90946,                0.94588,                0.74969,                0.75668,                0.83085,                 1.3161,              0.0004666,              0.0004666,              0.0004666
                     16,                 0.8471,                 1.0633,                 1.3004,                0.89611,                0.91994,                0.95872,                0.74318,                0.78205,                0.82623,                 1.3308,             0.00044893,             0.00044893,             0.00044893
                     17,                0.88161,                 1.0596,                 1.3272,                0.93409,                0.94796,                0.96868,                0.76531,                0.76413,                0.70748,                 1.3103,             0.00043126,             0.00043126,             0.00043126
                     18,                 0.8555,                 1.0151,                 1.2958,                0.91036,                0.94316,                  0.967,                0.76562,                0.76284,                0.74291,                  1.315,             0.00041358,             0.00041358,             0.00041358
                     19,                0.84399,                0.97254,                 1.2845,                0.94351,                0.93519,                0.97461,                0.77314,                0.74482,                0.68241,                 1.2989,             0.00039591,             0.00039591,             0.00039591
                     20,                0.81933,                0.96037,                 1.2724,                0.93705,                0.95406,                0.96807,                0.78002,                0.71448,                0.65393,                 1.2633,             0.00037824,             0.00037824,             0.00037824
                     21,                0.83074,                 0.9511,                 1.2723,                0.92363,                0.94209,                0.96429,                0.79233,                0.66491,                 0.6702,                 1.2075,             0.00036057,             0.00036057,             0.00036057
                     22,                 0.8131,                0.90463,                 1.2582,                0.93733,                0.97777,                 0.9784,                0.81345,                 0.6417,                0.58511,                 1.1898,              0.0003429,              0.0003429,              0.0003429
                     23,                0.78459,                0.84344,                 1.2447,                0.93442,                0.96371,                0.97469,                0.80258,                0.65527,                0.58577,                 1.1924,             0.00032523,             0.00032523,             0.00032523
                     24,                0.80008,                0.85243,                  1.243,                0.94859,                0.98024,                0.98415,                0.82227,                0.64114,                0.54872,                 1.1851,             0.00030756,             0.00030756,             0.00030756
                     25,                0.77895,                0.79559,                  1.243,                0.96214,                0.97533,                0.98336,                0.81827,                0.63922,                0.54638,                 1.1903,             0.00028988,             0.00028988,             0.00028988
                     26,                0.78103,                0.77616,                 1.2409,                0.95727,                0.97067,                0.97968,                0.81905,                0.62737,                0.55039,                 1.1658,             0.00027221,             0.00027221,             0.00027221
                     27,                0.75584,                0.77839,                 1.2107,                 0.9508,                0.98089,                0.98544,                0.82527,                0.62395,                0.51153,                 1.1655,             0.00025454,             0.00025454,             0.00025454
                     28,                0.78439,                0.77961,                 1.2353,                0.94626,                0.97744,                 0.9807,                0.82324,                 0.6232,                0.52089,                 1.1692,             0.00023687,             0.00023687,             0.00023687
                     29,                0.74415,                0.75725,                 1.2181,                0.96341,                0.97964,                0.98477,                 0.8405,                0.58618,                0.49098,                 1.1233,              0.0002192,              0.0002192,              0.0002192
                     30,                0.73441,                0.73578,                 1.2082,                0.97752,                0.98223,                0.98736,                0.83901,                0.59818,                0.47782,                 1.1372,             0.00020153,             0.00020153,             0.00020153
                     31,                0.64271,                0.72091,                 1.2019,                0.96727,                 0.9777,                0.98835,                0.84303,                0.58466,                0.50322,                 1.1193,             0.00018385,             0.00018385,             0.00018385
                     32,                0.61431,                0.66802,                 1.1818,                0.97799,                0.98154,                0.98883,                 0.8516,                0.56026,                0.47515,                 1.0977,             0.00016618,             0.00016618,             0.00016618
                     33,                0.60131,                 0.6478,                 1.1701,                0.97578,                0.98616,                0.98938,                0.85163,                0.56574,                0.45758,                 1.0998,             0.00014851,             0.00014851,             0.00014851
                     34,                0.57968,                0.60477,                  1.158,                0.98165,                0.98139,                 0.9902,                0.85746,                0.55473,                0.45976,                 1.0943,             0.00013084,             0.00013084,             0.00013084
                     35,                0.58062,                0.59868,                 1.1521,                0.96945,                0.98658,                0.98944,                0.85823,                0.54446,                0.44857,                 1.0804,             0.00011317,             0.00011317,             0.00011317
                     36,                0.55948,                0.58618,                 1.1246,                 0.9788,                0.98452,                0.99018,                0.85666,                0.53276,                 0.4375,                 1.0675,             9.5498e-05,             9.5498e-05,             9.5498e-05
                     37,                0.54077,                0.55648,                 1.1115,                0.98178,                0.98998,                0.99028,                0.86028,                0.52807,                0.41933,                 1.0655,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     38,                0.54495,                0.54545,                 1.1176,                0.98223,                0.98882,                  0.991,                 0.8662,                0.51521,                0.41398,                 1.0542,             6.0154e-05,             6.0154e-05,             6.0154e-05
                     39,                0.52776,                0.53708,                 1.1037,                0.98481,                0.99181,                0.99193,                0.87238,                0.50526,                0.39912,                 1.0448,             4.2483e-05,             4.2483e-05,             4.2483e-05
                     40,                0.53368,                0.53339,                 1.1092,                 0.9839,                 0.9882,                0.99259,                0.87659,                0.49757,                0.39837,                 1.0387,             2.4812e-05,             2.4812e-05,             2.4812e-05
